area,bathrooms,bedrooms,description,fetched_at,furnished,images,listing_id,location,price,property_type,seller_name,title,url
"13,455 Sqft",2,2,"This property is a 13,455 Sqft condo with 2 bedrooms and 2 bathrooms that is available for rent. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can rent this condo long term for RM5,000 per month.",2025-12-08T15:24:17.254638+00:00,N/A,"https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvYmU0ODdlMWMtNjk5Ny00MDdiLWFiMWEtMzg2OWU0M2FkYjFiXC9ob21lLTEuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjk1MCwiaGVpZ2h0Ijo1MDUsImZpdCI6ImNvdmVyIn19fQ==,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvYmU0ODdlMWMtNjk5Ny00MDdiLWFiMWEtMzg2OWU0M2FkYjFiXC9ob21lLTIuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjI1MCwiaGVpZ2h0IjoyNTAsImZpdCI6ImNvdmVyIn19fQ==,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvYmU0ODdlMWMtNjk5Ny00MDdiLWFiMWEtMzg2OWU0M2FkYjFiXC9ob21lLTMuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjI1MCwiaGVpZ2h0IjoyNTAsImZpdCI6ImNvdmVyIn19fQ==",U2028315,"Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur","RM5,000",Condo,Proppit,Condo for Rent in MyHabitat KLCC,https://www.fazwaz.my/property-rent/2-bedroom-condo-for-rent-in-bandar-kuala-lumpur-kuala-lumpur-u2028315
480 Sqft,1,2,"This property is a 480 Sqft apartment with 2 bedrooms and 1 bathroom that is available for rent. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can rent this apartment long term for RM800 per month.",2025-12-08T15:24:17.254638+00:00,Unfurnished,"https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvOTIwYjJiYTUtMmVhYi00OTdiLWEzMzMtOWU4NTgzNjhmMzJiXC9ob21lLTEuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjk1MCwiaGVpZ2h0Ijo1MDUsImZpdCI6ImNvdmVyIn19fQ==,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvOTIwYjJiYTUtMmVhYi00OTdiLWEzMzMtOWU4NTgzNjhmMzJiXC9ob21lLTIuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjI1MCwiaGVpZ2h0IjoyNTAsImZpdCI6ImNvdmVyIn19fQ==,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvOTIwYjJiYTUtMmVhYi00OTdiLWEzMzMtOWU4NTgzNjhmMzJiXC9ob21lLTMuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjI1MCwiaGVpZ2h0IjoyNTAsImZpdCI6ImNvdmVyIn19fQ==,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvOTIwYjJiYTUtMmVhYi00OTdiLWEzMzMtOWU4NTgzNjhmMzJiXC9ob21lLTQuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjI1MCwiaGVpZ2h0IjoyNTAsImZpdCI6ImNvdmVyIn19fQ==,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvOTIwYjJiYTUtMmVhYi00OTdiLWEzMzMtOWU4NTgzNjhmMzJiXC9ob21lLTUuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjI1MCwiaGVpZ2h0IjoyNTAsImZpdCI6ImNvdmVyIn19fQ==",U2031210,"Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur",RM800,Apartment,Proppit,Pandan Jaya Blok L Flat 2nd Floor Low Floor Nice Reno New Carpet Paint,https://www.fazwaz.my/property-rent/2-bedroom-apartment-for-rent-in-bandar-kuala-lumpur-kuala-lumpur-u2031210
"11,582 Sqft",2,2,"This property is a 11,582 Sqft condo with 2 bedrooms and 2 bathrooms that is available for rent. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can rent this condo long term for RM5,000 per month.",2025-12-08T15:24:17.254638+00:00,N/A,"https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvMzcwZjgwNWQtMTA1Zi00ZTdjLTk3NTgtM2Y3ZmNiMDkyYzg0XC9ob21lLTEuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjk1MCwiaGVpZ2h0Ijo1MDUsImZpdCI6ImNvdmVyIn19fQ==,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvMzcwZjgwNWQtMTA1Zi00ZTdjLTk3NTgtM2Y3ZmNiMDkyYzg0XC9ob21lLTIuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjI1MCwiaGVpZ2h0IjoyNTAsImZpdCI6ImNvdmVyIn19fQ==,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvMzcwZjgwNWQtMTA1Zi00ZTdjLTk3NTgtM2Y3ZmNiMDkyYzg0XC9ob21lLTMuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjI1MCwiaGVpZ2h0IjoyNTAsImZpdCI6ImNvdmVyIn19fQ==,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvMzcwZjgwNWQtMTA1Zi00ZTdjLTk3NTgtM2Y3ZmNiMDkyYzg0XC9ob21lLTQuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjI1MCwiaGVpZ2h0IjoyNTAsImZpdCI6ImNvdmVyIn19fQ==",U2027753,"Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur","RM5,000",Condo,Proppit,2 Bedroom Condo for rent,https://www.fazwaz.my/property-rent/2-bedroom-condo-for-rent-in-bandar-kuala-lumpur-kuala-lumpur-u2027753
790 Sqft,1,0,"This property is a 790 Sqft studio penthouse with 1 bathroom that is available for rent. It is part of the Sentul project in Bandar Kuala Lumpur, Kuala Lumpur and was completed in Oct 2019. You can rent this penthouse long term for RM600 per month.
A studio room for rent
Partial or fully furnished - move in Immediately!
Bed Frame & Mattress
Wardrobe
Table & Chair
Facilitates :
Air-Condition/Fan
WIFI
Washing machine
Refrigerator
* Water heater
* Water Filter / Water dispenser",2025-12-08T15:24:17.254638+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/ZJYSWXU2_5i4XBnj20ojqM_T-IU/2850x1515/unit/5716401/1-bed-1-bath.jpg,https://cdn.fazwaz.com/wbr/JA5ycuQeyfw_QjHBNw2z20pCTnk/250x250/unit/5716401/495595192-729605852733331-2900748732405797862-n.jpg,https://cdn.fazwaz.com/wbr/MJApzuKKAQi8cprtluwAoldoWgk/250x250/unit/5716401/497186847-569055622897682-7040864030102370322-n.jpg,https://cdn.fazwaz.com/wbr/MR8EnL08u16Vw_o2AugaCbLMQtY/250x250/unit/5716401/498332413-2441926996167491-286176682069371599-n.jpg,https://cdn.fazwaz.com/wbr/gz9xx7voX_ascv-RoUVICvLwBL4/250x250/unit/5716401/526675107-1120792006566019-7398632425457954869-n-1.jpg",U5716401,"Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur",RM600,Penthouse,Private Owner,Studio Penthouse for rent at Sentul,https://www.fazwaz.my/property-rent/studio-penthouse-for-rent-at-sentul-in-bandar-kuala-lumpur-kuala-lumpur-u5716401
"2,142 Sqft",4,4,"This property is a 2,142 Sqft condo with 4 bedrooms and 4 bathrooms that is available for rent. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can rent this condo long term for RM11,000 per month.",2025-12-08T15:24:17.254638+00:00,Fully Furnished,"https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvYjUxOWU2N2ItNzhiYi00MzIzLTkyMzktZGNjNWZiM2YzMTUxXC9ob21lLTEuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjk1MCwiaGVpZ2h0Ijo1MDUsImZpdCI6ImNvdmVyIn19fQ==,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvYjUxOWU2N2ItNzhiYi00MzIzLTkyMzktZGNjNWZiM2YzMTUxXC9ob21lLTIuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjI1MCwiaGVpZ2h0IjoyNTAsImZpdCI6ImNvdmVyIn19fQ==,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvYjUxOWU2N2ItNzhiYi00MzIzLTkyMzktZGNjNWZiM2YzMTUxXC9ob21lLTMuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjI1MCwiaGVpZ2h0IjoyNTAsImZpdCI6ImNvdmVyIn19fQ==,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvYjUxOWU2N2ItNzhiYi00MzIzLTkyMzktZGNjNWZiM2YzMTUxXC9ob21lLTQuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjI1MCwiaGVpZ2h0IjoyNTAsImZpdCI6ImNvdmVyIn19fQ==,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvYjUxOWU2N2ItNzhiYi00MzIzLTkyMzktZGNjNWZiM2YzMTUxXC9ob21lLTUuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjI1MCwiaGVpZ2h0IjoyNTAsImZpdCI6ImNvdmVyIn19fQ==",U2036401,"Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur","RM11,000",Condo,Proppit,Fully Furnished The Troika Condo @ KLCC for Rent,https://www.fazwaz.my/property-rent/4-bedroom-condo-for-rent-in-bandar-kuala-lumpur-kuala-lumpur-u2036401
"9,612 Sqft",1,3,"This property is a 9,612 Sqft apartment with 3 bedrooms and 1 bathroom that is available for rent. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can rent this apartment long term for RM2,800 per month.",2025-12-08T15:24:17.254638+00:00,Partly Furnished,"https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzXC9iYjJhNjE1ZS0zNzdkLTRmNmItYWY2MC0wOGZhODI1YTEyZjhcLzllNGRmYzhhLWQ2MTctNGUxOC04M2Y3LTk3ZDRkYzk0YjAxZi5qcGciLCJlZGl0cyI6eyJyb3RhdGUiOm51bGwsInJlc2l6ZSI6eyJ3aWR0aCI6OTUwLCJoZWlnaHQiOjUwNSwiZml0IjoiY292ZXIifX19,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzXC9iYjJhNjE1ZS0zNzdkLTRmNmItYWY2MC0wOGZhODI1YTEyZjhcLzE1ZDk1M2ExLWNkMmItNDI1YS1hYmNkLTgxOTVjOTY0ZGVmMy5qcGciLCJlZGl0cyI6eyJyb3RhdGUiOm51bGwsInJlc2l6ZSI6eyJ3aWR0aCI6MjUwLCJoZWlnaHQiOjI1MCwiZml0IjoiY292ZXIifX19,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzXC9iYjJhNjE1ZS0zNzdkLTRmNmItYWY2MC0wOGZhODI1YTEyZjhcL2JhMTc3MTE5LWVmOWMtNDQyOS1iMzU4LWU2YzAwYzcxNjlhMi5qcGciLCJlZGl0cyI6eyJyb3RhdGUiOm51bGwsInJlc2l6ZSI6eyJ3aWR0aCI6MjUwLCJoZWlnaHQiOjI1MCwiZml0IjoiY292ZXIifX19,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzXC9iYjJhNjE1ZS0zNzdkLTRmNmItYWY2MC0wOGZhODI1YTEyZjhcLzhkYmU4YjdhLWRlOGUtNDk0OC04YzFjLTIxZWU1NzE2M2FmOS5qcGciLCJlZGl0cyI6eyJyb3RhdGUiOm51bGwsInJlc2l6ZSI6eyJ3aWR0aCI6MjUwLCJoZWlnaHQiOjI1MCwiZml0IjoiY292ZXIifX19,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzXC9iYjJhNjE1ZS0zNzdkLTRmNmItYWY2MC0wOGZhODI1YTEyZjhcLzU2Njk2YzU2LTk3OTAtNDVkNC04YTU1LThiNGI5YzU2MjY0NC5qcGciLCJlZGl0cyI6eyJyb3RhdGUiOm51bGwsInJlc2l6ZSI6eyJ3aWR0aCI6MjUwLCJoZWlnaHQiOjI1MCwiZml0IjoiY292ZXIifX19",U2035032,"Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur","RM2,800",Apartment,Proppit,velocity two residence jalan peel taman maluri cheras pudu kuala lumpur,https://www.fazwaz.my/property-rent/3-bedroom-apartment-for-rent-in-bandar-kuala-lumpur-kuala-lumpur-u2035032
"11,840 Sqft",2,3,"This property is a 11,840 Sqft condo with 3 bedrooms and 2 bathrooms that is available for rent. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can rent this condo long term for RM2,100 per month.",2025-12-08T15:24:17.254638+00:00,Fully Furnished,"https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvYjNiYWRlYzktY2Q1NS00MTQ2LTg1ZDEtZmJlNmQ2MjBhNjA5XC9ob21lLTEuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjk1MCwiaGVpZ2h0Ijo1MDUsImZpdCI6ImNvdmVyIn19fQ==,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvYjNiYWRlYzktY2Q1NS00MTQ2LTg1ZDEtZmJlNmQ2MjBhNjA5XC9ob21lLTIuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjI1MCwiaGVpZ2h0IjoyNTAsImZpdCI6ImNvdmVyIn19fQ==,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvYjNiYWRlYzktY2Q1NS00MTQ2LTg1ZDEtZmJlNmQ2MjBhNjA5XC9ob21lLTMuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjI1MCwiaGVpZ2h0IjoyNTAsImZpdCI6ImNvdmVyIn19fQ==,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvYjNiYWRlYzktY2Q1NS00MTQ2LTg1ZDEtZmJlNmQ2MjBhNjA5XC9ob21lLTQuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjI1MCwiaGVpZ2h0IjoyNTAsImZpdCI6ImNvdmVyIn19fQ==,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvYjNiYWRlYzktY2Q1NS00MTQ2LTg1ZDEtZmJlNmQ2MjBhNjA5XC9ob21lLTUuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjI1MCwiaGVpZ2h0IjoyNTAsImZpdCI6ImNvdmVyIn19fQ==",U2042402,"Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur","RM2,100",Condo,Proppit,"Fully furnish unit at Bistari condominium, Kuala Lumpur",https://www.fazwaz.my/property-rent/3-bedroom-condo-for-rent-in-bandar-kuala-lumpur-kuala-lumpur-u2042402
"1,141 Sqft",3,3,"This property is a 1,141 Sqft condo with 3 bedrooms and 3 bathrooms that is available for rent. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can rent this condo long term for RM3,800 per month.",2025-12-08T15:24:17.254638+00:00,Fully Furnished,"https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvY2UwZWQ4YjEtNDdlMS00NzczLWI0MDItMjZkNWJmOTdiMjBkXC9ob21lLTEuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjk1MCwiaGVpZ2h0Ijo1MDUsImZpdCI6ImNvdmVyIn19fQ==,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvY2UwZWQ4YjEtNDdlMS00NzczLWI0MDItMjZkNWJmOTdiMjBkXC9ob21lLTIuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjI1MCwiaGVpZ2h0IjoyNTAsImZpdCI6ImNvdmVyIn19fQ==,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvY2UwZWQ4YjEtNDdlMS00NzczLWI0MDItMjZkNWJmOTdiMjBkXC9ob21lLTMuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjI1MCwiaGVpZ2h0IjoyNTAsImZpdCI6ImNvdmVyIn19fQ==,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvY2UwZWQ4YjEtNDdlMS00NzczLWI0MDItMjZkNWJmOTdiMjBkXC9ob21lLTQuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjI1MCwiaGVpZ2h0IjoyNTAsImZpdCI6ImNvdmVyIn19fQ==,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvY2UwZWQ4YjEtNDdlMS00NzczLWI0MDItMjZkNWJmOTdiMjBkXC9ob21lLTUuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjI1MCwiaGVpZ2h0IjoyNTAsImZpdCI6ImNvdmVyIn19fQ==",U2026539,"Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur","RM3,800",Condo,Proppit,Newly Refurbished 1A Stonor Condo @ KLCC for Rent,https://www.fazwaz.my/property-rent/3-bedroom-condo-for-rent-in-bandar-kuala-lumpur-kuala-lumpur-u2026539
"8,073 Sqft",1,1,"This property is a 8,073 Sqft condo with 1 bedroom and 1 bathroom that is available for rent. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can rent this condo long term for RM3,500 per month.",2025-12-08T15:24:17.254638+00:00,Unfurnished,"https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvNmI2YjNlODMtZjg1YS00YmE4LWEwOTQtZTRkY2Q2OThjY2JiXC9ob21lLTEuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjk1MCwiaGVpZ2h0Ijo1MDUsImZpdCI6ImNvdmVyIn19fQ==,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvNmI2YjNlODMtZjg1YS00YmE4LWEwOTQtZTRkY2Q2OThjY2JiXC9ob21lLTIuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjI1MCwiaGVpZ2h0IjoyNTAsImZpdCI6ImNvdmVyIn19fQ==,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvNmI2YjNlODMtZjg1YS00YmE4LWEwOTQtZTRkY2Q2OThjY2JiXC9ob21lLTMuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjI1MCwiaGVpZ2h0IjoyNTAsImZpdCI6ImNvdmVyIn19fQ==,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvNmI2YjNlODMtZjg1YS00YmE4LWEwOTQtZTRkY2Q2OThjY2JiXC9ob21lLTQuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjI1MCwiaGVpZ2h0IjoyNTAsImZpdCI6ImNvdmVyIn19fQ==",U2034619,"Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur","RM3,500",Condo,Proppit,Jalan Ampang Hampshire Park Condominium For Rent,https://www.fazwaz.my/property-rent/1-bedroom-condo-for-rent-in-bandar-kuala-lumpur-kuala-lumpur-u2034619
416 Sqft,1,1,"This property is a 416 Sqft condo with 1 bedroom and 1 bathroom that is available for rent. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can rent this condo long term for RM1,100 per month.",2025-12-08T15:24:17.254638+00:00,Fully Furnished,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvYjNhNjZlNmMtNzJiMy00NDdkLWFiMDktZjI2MWZmMjQyMDA3XC9ob21lLTEuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjk1MCwiaGVpZ2h0Ijo1MDUsImZpdCI6ImNvdmVyIn19fQ==,U2034633,"Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur","RM1,100",Condo,Proppit,Seri Cempaka,https://www.fazwaz.my/property-rent/1-bedroom-condo-for-rent-in-bandar-kuala-lumpur-kuala-lumpur-u2034633
